Team,Roll-up
ATL,4
ATL,2
BOS,6
BOS,4
CHH,6
CHH,6
CHH,6
CHI,6
CHI,6
CHI,2
CLE,6
CLE,6
DEN,6
DEN,5
DEN,2
DET,6
HOU,6
HOU,1
IND,0
LAC,3
LAL,6
MEM,2
MIA,2
MIA,1
MIL,6
MIL,1
MIL,4
MIL,2
MIN,6
MIN,6
MIN,3
MIN,0
NYK,2
NYK,2
OKC,2
OKC,3
ORL,6
ORL,4
PHI,4
PHI,6
PHI,3
PHI,6
PHI,2
PHI,0
PHI,0
PHO,6
PHO,4
PHO,3
PHO,0
SAC,5
SAS,6
SAS,4
SAS,2
TOR,6
TOR,0
TOR,0
UTA,5
UTA,6
UTA,3
WAS,6
